ds,residuals
2022-07-31,-7071.1270954342
2022-08-01,7183.654250616695
2022-08-02,7486.991047548137
2022-08-03,8814.81817227849
2022-08-04,14163.414479342784
2022-08-05,-1161.4910861097123
2022-08-06,-4542.028713557236
2022-08-07,-14382.357290510663
2022-08-08,-4978.828243003503
2022-08-09,-8916.589445661535
2022-08-10,-1306.9245222232494
2022-08-11,2915.039591949346
2022-08-12,-1826.7121071189322
2022-08-13,-1016.6569467380177
2022-08-14,-783.9606426871542
2022-08-15,-846.6553120352364
2022-08-16,2917.6611689918027
2022-08-17,-1360.9374611140775
2022-08-18,-515.0466203919168
2022-08-19,4213.884008019617
2022-08-20,4660.81397323724
2022-08-21,0.0
2022-08-22,2221.687784005033
2022-08-23,-3376.500322273747
2022-08-24,-4125.251752008371
2022-08-25,-1347.8474530111052
2022-08-26,-8412.609397594239
2022-08-27,-4920.450074186239
2022-08-28,-9164.688043027316
2022-08-29,519.5996160851792
2022-08-30,-3937.2475800359316
2022-08-31,-2833.2660937044857
2022-09-01,-5183.622818241536
2022-09-02,-6876.933443531569
2022-09-03,-6601.428885403933
2022-09-04,-10684.186626436323
2022-09-05,-2513.679654297226
2022-09-06,4713.169488939722
2022-09-07,-1265.860797931191
2022-09-08,-2636.118736525659
2022-09-09,-2706.324802399002
2022-09-10,-7047.878273492552
2022-09-11,-5541.724932609999
2022-09-12,989.255585576735
2022-09-13,105.55817730075069
2022-09-14,699.9088622366035
2022-09-15,-2499.6312666523954
2022-09-16,-835.0064003560728
2022-09-17,-601.2962477439178
2022-09-18,-6148.9657459998925
2022-09-19,1971.6954188712498
2022-09-20,73.66992546313486
2022-09-21,1535.1499115599036
2022-09-22,-3516.1919412290445
2022-09-23,2249.7586599874776
2022-09-24,-2774.929535568721
2022-09-25,-7563.506121112043
2022-09-26,1939.8535127381256
2022-09-27,550.1443967711275
2022-09-28,133.06004516425674
2022-09-29,3555.239840152346
2022-09-30,-7194.704670838102
2022-10-01,351.6223735059684
2022-10-02,-10297.143991451296
2022-10-03,-1882.9942010049836
2022-10-04,-3612.3596112967753
2022-10-05,5557.397362115262
2022-10-06,-806.505100123697
2022-10-07,6210.67080011162
2022-10-08,-3512.423979187359
2022-10-09,-10407.490421826224
2022-10-10,2753.2589048590853
2022-10-11,813.7931110478603
2022-10-12,4894.469019739299
2022-10-13,11383.065068428397
2022-10-14,6305.1268822306665
2022-10-15,10739.87490500453
2022-10-16,-10068.620993863824
2022-10-17,2281.8022722637033
2022-10-18,678.5616097262864
2022-10-19,15848.364002475213
2022-10-20,3820.893301813896
2022-10-21,-996.5675552821776
2022-10-22,-828.5527378843253
2022-10-23,-9689.494400053172
2022-10-24,3300.2294231694923
2022-10-25,4658.671911459343
2022-10-26,2926.4233265847797
2022-10-27,-830.471244989265
2022-10-28,-7895.3565651196
2022-10-29,-8715.731087967186
2022-10-30,-12732.295163295008
2022-10-31,-14152.308152450423
2022-11-01,-848.9277195066461
2022-11-02,-1327.9829959755225
2022-11-03,-2966.8957864679796
2022-11-04,4124.544411062554
2022-11-05,-3508.314016616132
2022-11-06,-10642.79622462563
2022-11-07,-1655.061728249635
2022-11-08,6602.050752143281
2022-11-09,-4097.887401285425
2022-11-10,-2232.5203800475465
2022-11-11,49.19402747607819
2022-11-12,1067.4772339701012
2022-11-13,-11012.209527239962
2022-11-14,-627.1338906992278
2022-11-15,6796.740702916373
2022-11-16,-1744.9230670475808
2022-11-17,-2222.6272307881627
2022-11-18,6053.912758921604
2022-11-19,1898.688651135264
2022-11-20,-5472.082812233377
2022-11-21,1572.1904644331007
2022-11-22,-644.6252834532424
2022-11-23,-65.43255407618926
2022-11-24,3312.2816650932473
2022-11-25,-6789.693582244523
2022-11-26,-4421.975820187414
2022-11-27,-6500.627706815854
2022-11-28,-2009.9753200273553
2022-11-29,1689.8400668522481
2022-11-30,5346.868121065385
2022-12-01,-3066.5884546819616
2022-12-02,295.8995433621749
2022-12-03,-3089.8742015437892
2022-12-04,745.8167493085766
2022-12-05,-3832.9210499263027
2022-12-06,-11673.108217852081
2022-12-07,-7223.067409201725
2022-12-08,-1715.2553828003147
2022-12-09,-3320.9998728028622
2022-12-10,2013.8524727770855
2022-12-11,7492.461576036754
2022-12-12,-995.0634416739958
2022-12-13,246.18121236894876
2022-12-14,380.5769720842727
2022-12-15,4646.030283262069
2022-12-16,-3878.4999758263148
2022-12-17,665.4069931950507
2022-12-18,1338.8668195625032
2022-12-19,629.9592435916638
2022-12-20,903.8522265076754
2022-12-21,-229.97690963315108
2022-12-22,-47.31612490030966
2022-12-23,446.8060153826882
2022-12-24,790.04723424643
2022-12-25,0.0
2022-12-26,-4594.266771705636
2022-12-27,7274.548507234515
2022-12-28,4478.649674972516
2022-12-29,-587.7918724146257
2022-12-30,-4872.681569481127
2022-12-31,-2072.7658178584716
2023-01-01,0.0
2023-01-02,6230.65287475679
2023-01-03,3572.976252017077
2023-01-04,-1839.1347581661903
2023-01-05,1912.7414728197364
2023-01-06,6187.537841528123
2023-01-07,3154.15504198648
2023-01-08,-2804.4301390246983
2023-01-09,11305.526132575942
2023-01-10,10037.755306073102
2023-01-11,6757.220246905896
2023-01-12,11267.975953490313
2023-01-13,20789.170812292174
2023-01-14,14381.403022197395
2023-01-15,0.0
2023-01-16,13035.787378962006
2023-01-17,10587.45375842369
2023-01-18,10152.374039179693
2023-01-19,8615.532611912215
2023-01-20,8252.26223435791
2023-01-21,10772.650189689895
2023-01-22,0.0
2023-01-23,12103.595177165507
2023-01-24,16589.729047691762
2023-01-25,10607.728003829347
2023-01-26,8744.9336343676
2023-01-27,2843.463337050285
2023-01-28,7330.464206021446
2023-01-29,-925.5710292041949
2023-01-30,6604.97384748283
2023-01-31,3756.47158989174
2023-02-01,9387.823044690913
2023-02-02,3774.7537655237593
2023-02-03,6768.711923073446
2023-02-04,13332.931417526812
2023-02-05,-5818.7699421100915
2023-02-06,3831.4857739914005
2023-02-07,-279.6149982253537
2023-02-08,11032.757102651558
2023-02-09,-1109.0984717492138
2023-02-10,-2198.8586911552666
2023-02-11,-730.2294254746848
2023-02-12,-8935.257218719082
2023-02-13,35.69761076829673
2023-02-14,2036.6187660386822
2023-02-15,-3800.2734357643058
2023-02-16,1378.988450012821
2023-02-17,4534.1332212427515
2023-02-18,-12999.273046840208
2023-02-19,-12365.412585336668
2023-02-20,6851.037711887544
2023-02-21,1072.2941294398624
2023-02-22,6182.894713332065
2023-02-23,975.2541731116034
2023-02-24,-4692.866918311331
2023-02-25,-6501.7187893860755
2023-02-26,-14119.566748755105
2023-02-27,4325.658673869275
2023-02-28,-1292.7387605225704
2023-03-01,-4921.848418109355
2023-03-02,10240.265600332285
2023-03-03,9051.813000952316
2023-03-04,2885.3643306086196
2023-03-05,-11551.49302570871
2023-03-06,11073.762061369365
2023-03-07,-2125.5807509168953
2023-03-08,-3989.9198342318377
2023-03-09,4566.7117434144275
2023-03-10,-1300.0114836705689
2023-03-11,1401.8577499660605
2023-03-12,-10184.613818108699
2023-03-13,1639.9971575906384
2023-03-14,-268.08085184166157
2023-03-15,6413.475465345724
2023-03-16,-433.6515098470081
2023-03-17,-3435.691881001072
2023-03-18,2931.9479268038413
2023-03-19,-8444.248280027816
2023-03-20,2534.9830092138836
2023-03-21,14463.688014461695
2023-03-22,8516.213743568447
2023-03-23,3720.483999041222
2023-03-24,5792.434501202224
2023-03-25,6368.528549527229
2023-03-26,-3618.0057001968053
2023-03-27,5547.243387222925
2023-03-28,4988.78166625582
2023-03-29,7691.955790177966
2023-03-30,5997.434038738309
2023-03-31,3784.6589663251652
2023-04-01,-853.5709345413306
2023-04-02,-4030.212719603245
2023-04-03,9604.047067809433
2023-04-04,6137.623704052914
2023-04-05,-1654.524357185568
2023-04-06,-4027.8074608794923
2023-04-07,-9281.533587543474
2023-04-08,-7028.2154182405175
2023-04-09,0.0
2023-04-10,-1729.3552965630624
2023-04-11,9508.818393108517
2023-04-12,339.6546898510387
2023-04-13,4361.011365780287
2023-04-14,1094.8894574168298
2023-04-15,2841.7722270648665
2023-04-16,-9041.612947705536
2023-04-17,601.0137248567244
2023-04-18,1712.329784548523
2023-04-19,7205.0931656872235
2023-04-20,-435.5947660281745
2023-04-21,-211.31557290285127
2023-04-22,7973.100719314531
2023-04-23,-9157.309511002488
2023-04-24,-674.5976173623567
2023-04-25,459.67130517471014
2023-04-26,1258.411771678304
2023-04-27,2918.0045904959843
2023-04-28,6872.333580250539
2023-04-29,19475.1024657034
2023-04-30,-4249.48469479143
2023-05-01,0.0
2023-05-02,3683.4725495158054
2023-05-03,2856.614974554701
2023-05-04,740.9418193826896
2023-05-05,4112.580801057589
2023-05-06,1286.365478603937
2023-05-07,-4925.249943999574
2023-05-08,1778.1354430787542
2023-05-09,1939.2381748522093
2023-05-10,5683.818757703833
2023-05-11,251.19860179838724
2023-05-12,-8077.520292166646
2023-05-13,-172.81566262413617
2023-05-14,-1609.1142141106575
2023-05-15,1784.8588436899827
2023-05-16,9035.774586665488
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,10699.22567768733
2023-05-20,944.4392251071476
2023-05-21,-2236.831524553196
2023-05-22,-593.6973198497908
2023-05-23,-3440.7861070701965
2023-05-24,6517.9638483088675
2023-05-25,7105.805778588117
2023-05-26,8464.140593356478
2023-05-27,-1971.3391012859993
2023-05-28,-5513.689204559076
2023-05-29,-884.8029916461346
2023-05-30,-159.47316636960386
2023-05-31,-3033.609572782094
2023-06-01,-11.523051287946146
2023-06-02,-6469.716561288016
2023-06-03,-6230.475851976105
2023-06-04,-8378.892112228848
2023-06-05,-5241.783936515778
